refrigerant_key,ashrae_name,chemical_name,chemical_formula,compound_type,safety_group,odp,gwp,category,primary_oil,status,color_hex,boiling_point_c,critical_temp_c,critical_pressure_bar,description,pros,cons,alternatives,true_replacement
1,R-134a,"1,1,1,2-Tetrafluoroetano",CF3CH2F,HFC,A1,0.0,1430.0,Basic,POE,Phasing Down,#3A9AD9,-26.3,101.1,40.6,"El refrigerante estándar de la industria para refrigeración doméstica, automotriz y comercial ligera. Reemplazó al R-12.","No inflamable, baja toxicidad, termodinámicamente eficiente a temperaturas medias.",Alto GWP. Sujeto a cuotas de reducción bajo la Enmienda de Kigali.,"R-1234yf, R-513A, R-290",R-1234yf (Automotriz) o R-513A (Comercial / Drop-in)
2,R-600a,Isobutano,CH(CH3)3,HC,A3,0.0,3.0,Basic,Mineral,Active,#2ECC71,-11.7,134.7,36.4,Hidrocarburo natural de excelente rendimiento. Convertido en el estándar mundial para heladeras domésticas modernas.,"Impacto ambiental insignificante, alta eficiencia, menor carga de gas requerida.",Altamente inflamable (A3). Requiere precauciones especiales de diseño y servicio.,Ninguna (ya es el reemplazo ecológico dominante),Ninguno (Ya es el estándar ecológico natural en heladeras)
3,R-290,Propano,CH3CH2CH3,HC,A3,0.0,3.0,Basic,Mineral,Active,#16A085,-42.1,96.7,42.5,"Propano de alta pureza. Excelente para sistemas comerciales autónomos pequeños (freezers de supermercado, botelleros).","Termodinámica soberbia, bajísimo GWP, compatible con aceite mineral económico.",Altamente inflamable (A3). Carga limitada por normativas de seguridad (usualmente 150g a 500g).,"R-454C, R-455A",Ninguno (Ya es el estándar ecológico natural en botelleros)
4,R-12,Diclorodifluorometano,CCl2F2,CFC,A1,1.0,10900.0,Basic,Mineral,Phased Out,#E74C3C,-29.8,112.0,41.2,"El refrigerante más famoso de la historia, prohibido a nivel global por el Protocolo de Montreal debido a su altísimo daño a la capa de ozono.","Termodinámicamente perfecto, no inflamable, estable químicamente.",Altísimo ODP y GWP extremo. Totalmente prohibido.,"R-134a, R-600a",R-134a (Sustituto Ecológico) o R-437A (Sustituto Drop-in compatible con aceite mineral)
5,R-401A,Mezcla MP39 (R-22/152a/124),Mezcla zeotrópica,HCFC,A1,0.03,1182.0,Basic,Alquilbenceno,Phased Out,#F39C12,-32.6,108.0,46.1,Mezcla de transición diseñada para sustituir al R-12 en refrigeración comercial de temperatura media sin cambiar el compresor.,"Presiones de descarga similares al R-12, compatible con aceites tradicionales con AB.","Contiene R-22 (daño al ozono residual), sujeto a eliminación.","R-437A, R-134a",R-437A o R-134a (requiere cambio a aceite POE)
6,R-401B,Mezcla MP66 (R-22/152a/124),Mezcla zeotrópica,HCFC,A1,0.035,1288.0,Basic,Alquilbenceno,Phased Out,#D35400,-34.5,105.0,46.5,Variante de transición optimizada para sistemas de congelamiento comercial de baja temperatura de R-12.,Mayor capacidad frigorífica a bajas temperaturas que el R-401A.,Impacto ecológico moderado por presencia de HCFC.,"R-437A, R-404A",R-437A o R-404A
7,R-409A,Mezcla FX56 (R-22/124/142b),Mezcla zeotrópica,HCFC,A1,0.048,1585.0,Basic,Alquilbenceno,Phased Out,#E67E22,-34.3,109.4,45.9,Otro refrigerante de sustitución temporal del R-12 de alta popularidad en el mercado de repuestos automotrices y comerciales del siglo pasado.,Fácil sustitución en heladeras comerciales antiguas.,"Efecto negativo sobre el ozono, alto potencial de calentamiento global.",R-437A,R-437A
8,R-413A,Mezcla ISCEON 49,Mezcla R-134a/218/600a,HFC,A2,0.0,2053.0,Basic,Mineral/POE,Phasing Down,#1ABC9C,-34.8,101.2,40.7,Reemplazo directo libre de cloro para sistemas R-12 en refrigeración doméstica y aire acondicionado móvil.,Compatible con aceite mineral debido a la fracción de isobutano añadida.,Presencia de R-218 aumenta significativamente el GWP.,R-437A,R-437A
9,R-426A,Mezcla RS-24,Mezcla R-134a/125/600/601a,HFC,A1,0.0,1508.0,Basic,POE/Mineral,Active,#3498DB,-28.6,100.9,40.8,"Sustituto directo (drop-in) de R-12 en refrigeradores domésticos y comerciales, compatible con lubricantes tradicionales.","Seguridad clasificada A1 (no inflamable), no daña el ozono.",Su GWP es moderado-alto.,R-134a,R-134a
10,R-437A,Mezcla Isceon MO49 Plus,Mezcla R-134a/125/600/601,HFC,A1,0.0,1805.0,Basic,Mineral/POE,Active,#2980B9,-32.3,98.7,40.6,Reemplazo drop-in definitivo del R-12 y de las mezclas de transición como R-401A/B y R-409A.,Permite conservar el aceite mineral y el compresor existente con nula toxicidad.,El GWP sigue siendo alto para la regulación europea F-Gas.,R-513A,R-513A o R-1234yf (HFO de bajo GWP)
