refrigerant_key,temperature_key,state_key,pressure_bar,pressure_psi
1,1,1,0.3322,4.82
1,1,2,0.3322,4.82
1,2,1,0.4334,6.29
1,2,2,0.4334,6.29
1,3,1,0.5614,8.14
1,3,2,0.5614,8.14
1,4,1,0.7196,10.44
1,4,2,0.7196,10.44
1,5,1,0.9129,13.24
1,5,2,0.9129,13.24
1,6,1,1.1469,16.63
1,6,2,1.1469,16.63
1,7,1,1.4273,20.7
1,7,2,1.4273,20.7
1,8,1,1.7604,25.53
1,8,2,1.7604,25.53
1,9,1,2.1526,31.22
1,9,2,2.1526,31.22
1,10,1,2.6105,37.86
1,10,2,2.6105,37.86
1,11,1,3.1406,45.55
1,11,2,3.1406,45.55
1,12,1,3.7496,54.38
1,12,2,3.7496,54.38
1,13,1,4.4437,64.45
1,13,2,4.4437,64.45
1,14,1,5.2291,75.84
1,14,2,5.2291,75.84
1,15,1,6.1115,88.64
1,15,2,6.1115,88.64
1,16,1,7.0959,102.92
1,16,2,7.0959,102.92
1,17,1,8.187,118.74
1,17,2,8.187,118.74
1,18,1,9.3885,136.17
1,18,2,9.3885,136.17
1,19,1,10.7035,155.24
1,19,2,10.7035,155.24
1,20,1,12.1344,175.99
1,20,2,12.1344,175.99
1,21,1,13.6825,198.45
1,21,2,13.6825,198.45
1,22,1,15.3487,222.61
1,22,2,15.3487,222.61
1,23,1,17.1328,248.49
1,23,2,17.1328,248.49
1,24,1,19.0344,276.07
1,24,2,19.0344,276.07
1,25,1,21.0524,305.34
1,25,2,21.0524,305.34
2,1,1,0.1671,2.42
2,1,2,0.1671,2.42
2,2,1,0.2188,3.17
2,2,2,0.2188,3.17
2,3,1,0.2833,4.11
2,3,2,0.2833,4.11
2,4,1,0.3627,5.26
2,4,2,0.3627,5.26
2,5,1,0.4597,6.67
2,5,2,0.4597,6.67
2,6,1,0.5829,8.45
2,6,2,0.5829,8.45
2,7,1,0.7356,10.67
2,7,2,0.7356,10.67
2,8,1,0.92,13.34
2,8,2,0.92,13.34
2,9,1,1.1409,16.55
2,9,2,1.1409,16.55
2,10,1,1.4034,20.35
2,10,2,1.4034,20.35
2,11,1,1.7128,24.84
2,11,2,1.7128,24.84
2,12,1,2.0747,30.09
2,12,2,2.0747,30.09
2,13,1,2.4949,36.18
2,13,2,2.4949,36.18
2,14,1,2.9792,43.21
2,14,2,2.9792,43.21
2,15,1,3.5337,51.25
2,15,2,3.5337,51.25
2,16,1,4.1643,60.4
2,16,2,4.1643,60.4
2,17,1,4.8766,70.73
2,17,2,4.8766,70.73
2,18,1,5.6763,82.33
2,18,2,5.6763,82.33
2,19,1,6.5685,95.27
2,19,2,6.5685,95.27
2,20,1,7.5581,109.62
2,20,2,7.5581,109.62
2,21,1,8.6494,125.45
2,21,2,8.6494,125.45
2,22,1,9.8461,142.81
2,22,2,9.8461,142.81
2,23,1,11.1515,161.74
2,23,2,11.1515,161.74
2,24,1,12.5681,182.29
2,24,2,12.5681,182.29
2,25,1,14.0976,204.47
2,25,2,14.0976,204.47
3,1,1,0.7014,10.17
3,1,2,0.7014,10.17
3,2,1,0.9042,13.11
3,2,2,0.9042,13.11
3,3,1,1.1533,16.73
3,3,2,1.1533,16.73
3,4,1,1.456,21.12
3,4,2,1.456,21.12
3,5,1,1.8203,26.4
3,5,2,1.8203,26.4
3,6,1,2.2548,32.7
3,6,2,2.2548,32.7
3,7,1,2.7681,40.15
3,7,2,2.7681,40.15
3,8,1,3.3693,48.87
3,8,2,3.3693,48.87
3,9,1,4.0675,58.99
3,9,2,4.0675,58.99
3,10,1,4.8717,70.66
3,10,2,4.8717,70.66
3,11,1,5.7907,83.99
3,11,2,5.7907,83.99
3,12,1,6.8329,99.1
3,12,2,6.8329,99.1
3,13,1,8.006,116.12
3,13,2,8.006,116.12
3,14,1,9.3172,135.13
3,14,2,9.3172,135.13
3,15,1,10.7725,156.24
3,15,2,10.7725,156.24
3,16,1,12.3771,179.51
3,16,2,12.3771,179.51
3,17,1,14.135,205.01
3,17,2,14.135,205.01
3,18,1,16.0489,232.77
3,18,2,16.0489,232.77
3,19,1,18.1206,262.82
3,19,2,18.1206,262.82
3,20,1,20.3502,295.16
3,20,2,20.3502,295.16
3,21,1,22.7372,329.78
3,21,2,22.7372,329.78
3,22,1,25.2797,366.65
3,22,2,25.2797,366.65
3,23,1,27.975,405.74
3,23,2,27.975,405.74
3,24,1,30.8199,447.01
3,24,2,30.8199,447.01
3,25,1,33.8108,490.38
3,25,2,33.8108,490.38
4,1,1,0.3777,5.48
4,1,2,0.3777,5.48
4,2,1,0.4902,7.11
4,2,2,0.4902,7.11
4,3,1,0.6329,9.18
4,3,2,0.6329,9.18
4,4,1,0.8158,11.83
4,4,2,0.8158,11.83
4,5,1,1.0409,15.1
4,5,2,1.0409,15.1
4,6,1,1.3151,19.07
4,6,2,1.3151,19.07
4,7,1,1.6459,23.87
4,7,2,1.6459,23.87
4,8,1,2.0417,29.61
4,8,2,2.0417,29.61
4,9,1,2.5108,36.42
4,9,2,2.5108,36.42
4,10,1,3.0623,44.42
4,10,2,3.0623,44.42
4,11,1,3.7054,53.74
4,11,2,3.7054,53.74
4,12,1,4.4493,64.53
4,12,2,4.4493,64.53
4,13,1,5.3035,76.92
4,13,2,5.3035,76.92
4,14,1,6.2769,91.04
4,14,2,6.2769,91.04
4,15,1,7.3784,107.01
4,15,2,7.3784,107.01
4,16,1,8.6163,124.97
4,16,2,8.6163,124.97
4,17,1,9.9983,145.01
4,17,2,9.9983,145.01
4,18,1,11.5312,167.25
4,18,2,11.5312,167.25
4,19,1,13.221,191.76
4,19,2,13.221,191.76
4,20,1,15.0728,218.61
4,20,2,15.0728,218.61
4,21,1,17.0904,247.88
4,21,2,17.0904,247.88
4,22,1,19.2767,279.59
4,22,2,19.2767,279.59
4,23,1,21.6334,313.77
4,23,2,21.6334,313.77
4,24,1,24.161,350.43
4,24,2,24.161,350.43
4,25,1,26.8595,389.56
4,25,2,26.8595,389.56
5,1,1,0.4365,6.33
5,1,2,0.3929,5.7
5,2,1,0.5634,8.17
5,2,2,0.5094,7.39
5,3,1,0.7291,10.57
5,3,2,0.6581,9.54
5,4,1,0.9352,13.56
5,4,2,0.8476,12.29
5,5,1,1.1874,17.22
5,5,2,1.0805,15.67
5,6,1,1.4931,21.66
5,6,2,1.3639,19.78
5,7,1,1.8601,26.98
5,7,2,1.7054,24.74
5,8,1,2.2969,33.31
5,8,2,2.1133,30.65
5,9,1,2.8123,40.79
5,9,2,2.5961,37.65
5,10,1,3.4151,49.53
5,10,2,3.1629,45.87
5,11,1,4.1146,59.68
5,11,2,3.8226,55.44
5,12,1,4.9201,71.36
5,12,2,4.5846,66.49
5,13,1,5.8404,84.71
5,13,2,5.4579,79.16
5,14,1,6.8844,99.85
5,14,2,6.4514,93.57
5,15,1,8.0603,116.9
5,15,2,7.5736,109.85
5,16,1,9.3757,135.98
5,16,2,8.8323,128.1
5,17,1,10.8376,157.19
5,17,2,10.2349,148.44
5,18,1,12.4519,180.6
5,18,2,11.7875,170.96
5,19,1,14.2236,206.3
5,19,2,13.4957,195.74
5,20,1,16.1565,234.33
5,20,2,15.3638,222.83
